month,year,scenario,pressure,temperature,extraction,recharge
89,7.416666666666667,Sustainable operation,73.30000000000025,241.1000000000005,10,10
90,7.5,Sustainable operation,73.00000000000026,241.0000000000005,10,10
91,7.583333333333333,Sustainable operation,72.70000000000026,240.90000000000052,10,10
92,7.666666666666667,Sustainable operation,72.40000000000026,240.80000000000052,10,10
93,7.75,Sustainable operation,72.10000000000026,240.70000000000053,10,10
94,7.833333333333333,Sustainable operation,71.80000000000027,240.60000000000053,10,10
95,7.916666666666667,Sustainable operation,71.50000000000027,240.50000000000054,10,10
96,8.0,Sustainable operation,71.20000000000027,240.40000000000055,10,10
97,8.083333333333334,Sustainable operation,70.90000000000028,240.30000000000055,10,10
98,8.166666666666666,Sustainable operation,70.60000000000028,240.20000000000056,10,10
99,8.25,Sustainable operation,70.30000000000028,240.10000000000056,10,10
100,8.333333333333334,Sustainable operation,70.00000000000028,240.00000000000057,10,10
101,8.416666666666666,Sustainable operation,69.70000000000029,239.90000000000057,10,10
102,8.5,Sustainable operation,69.40000000000029,239.80000000000058,10,10
103,8.583333333333334,Sustainable operation,69.10000000000029,239.70000000000059,10,10
104,8.666666666666666,Sustainable operation,68.8000000000003,239.6000000000006,10,10
105,8.75,Sustainable operation,68.5000000000003,239.5000000000006,10,10
106,8.833333333333334,Sustainable operation,68.2000000000003,239.4000000000006,10,10
107,8.916666666666666,Sustainable operation,67.9000000000003,239.3000000000006,10,10
108,9.0,Sustainable operation,67.6000000000003,239.2000000000006,10,10
109,9.083333333333334,Sustainable operation,67.30000000000031,239.10000000000062,10,10
110,9.166666666666666,Sustainable operation,67.00000000000031,239.00000000000063,10,10
111,9.25,Sustainable operation,66.70000000000032,238.90000000000063,10,10
112,9.333333333333334,Sustainable operation,66.40000000000032,238.80000000000064,10,10
113,9.416666666666666,Sustainable operation,66.10000000000032,238.70000000000064,10,10
114,9.5,Sustainable operation,65.80000000000032,238.60000000000065,10,10
115,9.583333333333334,Sustainable operation,65.50000000000033,238.50000000000065,10,10
116,9.666666666666666,Sustainable operation,65.20000000000033,238.40000000000066,10,10
117,9.75,Sustainable operation,64.90000000000033,238.30000000000067,10,10
118,9.833333333333334,Sustainable operation,64.60000000000034,238.20000000000067,10,10
119,9.916666666666666,Sustainable operation,64.30000000000034,238.10000000000068,10,10
120,10.0,Sustainable operation,64.00000000000034,238.00000000000068,10,10
0,0.0,Moderate over-extraction,100.0,250.0,15,8
1,0.08333333333333333,Moderate over-extraction,99.2,249.745,15,8
2,0.16666666666666666,Moderate over-extraction,98.4,249.49,15,8
3,0.25,Moderate over-extraction,97.60000000000001,249.235,15,8
4,0.3333333333333333,Moderate over-extraction,96.80000000000001,248.98000000000002,15,8
5,0.4166666666666667,Moderate over-extraction,96.00000000000001,248.72500000000002,15,8
6,0.5,Moderate over-extraction,95.20000000000002,248.47000000000003,15,8
7,0.5833333333333334,Moderate over-extraction,94.40000000000002,248.21500000000003,15,8
8,0.6666666666666666,Moderate over-extraction,93.60000000000002,247.96000000000004,15,8
9,0.75,Moderate over-extraction,92.80000000000003,247.70500000000004,15,8
10,0.8333333333333334,Moderate over-extraction,92.00000000000003,247.45000000000005,15,8
11,0.9166666666666666,Moderate over-extraction,91.20000000000003,247.19500000000005,15,8
12,1.0,Moderate over-extraction,90.40000000000003,246.94000000000005,15,8
13,1.0833333333333333,Moderate over-extraction,89.60000000000004,246.68500000000006,15,8
14,1.1666666666666667,Moderate over-extraction,88.80000000000004,246.43000000000006,15,8
15,1.25,Moderate over-extraction,88.00000000000004,246.17500000000007,15,8
16,1.3333333333333333,Moderate over-extraction,87.20000000000005,245.92000000000007,15,8
17,1.4166666666666667,Moderate over-extraction,86.40000000000005,245.66500000000008,15,8
18,1.5,Moderate over-extraction,85.60000000000005,245.41000000000008,15,8
19,1.5833333333333333,Moderate over-extraction,84.80000000000005,245.1550000000001,15,8
20,1.6666666666666667,Moderate over-extraction,84.00000000000006,244.9000000000001,15,8
21,1.75,Moderate over-extraction,83.20000000000006,244.6450000000001,15,8
22,1.8333333333333333,Moderate over-extraction,82.40000000000006,244.3900000000001,15,8
23,1.9166666666666667,Moderate over-extraction,81.60000000000007,244.1350000000001,15,8
24,2.0,Moderate over-extraction,80.80000000000007,243.8800000000001,15,8
25,2.0833333333333335,Moderate over-extraction,80.00000000000007,243.6250000000001,15,8
26,2.1666666666666665,Moderate over-extraction,79.20000000000007,243.37000000000012,15,8
27,2.25,Moderate over-extraction,78.40000000000008,243.11500000000012,15,8
28,2.3333333333333335,Moderate over-extraction,77.60000000000008,242.86000000000013,15,8
29,2.4166666666666665,Moderate over-extraction,76.80000000000008,242.60500000000013,15,8
30,2.5,Moderate over-extraction,76.00000000000009,242.35000000000014,15,8
31,2.5833333333333335,Moderate over-extraction,75.20000000000009,242.09500000000014,15,8
32,2.6666666666666665,Moderate over-extraction,74.40000000000009,241.84000000000015,15,8
33,2.75,Moderate over-extraction,73.6000000000001,241.58500000000015,15,8
34,2.8333333333333335,Moderate over-extraction,72.8000000000001,241.33000000000015,15,8
